ch,fc_target,fc_sim,Q_target,Q_sim,gain_dB,RA,C,R1
0.000000000000000000e+00,1.663162069885555638e+02,1.659586909999999875e+02,1.326964399869447364e+00,1.326962438969063518e+00,6.015149570000000168e+00,1.233528571406201445e+04,7.655535006415677550e-08,1.650639903656888418e+04
1.000000000000000000e+00,3.006716939880504356e+02,2.951209230000000048e+02,2.076835354720130145e+00,2.076833462832853527e+00,6.025549019999999700e+00,1.250260805182991680e+04,4.234650518135454469e-08,2.613433107081429989e+04
2.000000000000000000e+00,4.558641418353872723e+02,4.466835919999999760e+02,2.726024659504129755e+00,2.726024082113330582e+00,6.048653990000000036e+00,1.247977153940524659e+04,2.793024122513522965e-08,3.412406509355368325e+04
3.000000000000000000e+00,6.351251188652194060e+02,6.309573440000000346e+02,3.288050366353721721e+00,3.288054724403927320e+00,6.088603309999999880e+00,1.225558898893577134e+04,2.004706642700677411e-08,4.019070368455691641e+04
4.000000000000000000e+00,8.421873717739483709e+02,8.317637710000000197e+02,3.774615522051842920e+00,3.774620814949676273e+00,6.139332239999999885e+00,1.226985551686161125e+04,1.511824550459910497e-08,4.587264777485033119e+04
5.000000000000000000e+00,1.081362552507808687e+03,1.071519309999999905e+03,4.195851860273108080e+00,4.195873968883875982e+00,6.208368130000000207e+00,1.216009335724947232e+04,1.177440019337056456e-08,5.004951783666009578e+04
6.000000000000000000e+00,1.357630999680021660e+03,1.348962880000000041e+03,4.560530774412502986e+00,4.560687257554312701e+00,6.294200489999999704e+00,1.204730788162416138e+04,9.378391809226887545e-09,5.327124204537693731e+04
7.000000000000000000e+00,1.676745444033155081e+03,1.659586909999999989e+03,4.876245964083607554e+00,4.876749544709792161e+00,6.391155799999999942e+00,1.200573249513328119e+04,7.593517246556993884e-09,5.598830101983630448e+04
8.000000000000000000e+00,2.045350797402844591e+03,2.041737939999999981e+03,5.149571558529590476e+00,5.150754077713120438e+00,6.517888140000000163e+00,1.179516127966038766e+04,6.225042405204539952e-09,5.708015582064148475e+04
9.000000000000000000e+00,2.471122519545384421e+03,2.454708920000000035e+03,5.386199009546665195e+00,5.389073341232664127e+00,6.646608239999999945e+00,1.173740697829715828e+04,5.152474370106918802e-09,5.837266644190619263e+04
1.000000000000000000e+01,2.962926444038065711e+03,2.951209229999999934e+03,5.591055604437941362e+00,5.598380194135566867e+00,6.803004709999999733e+00,1.156660421172149108e+04,4.297236427509521261e-09,5.846214793294195260e+04
1.100000000000000000e+01,3.531003391302846921e+03,3.467368500000000040e+03,5.768407066789710491e+00,5.782722002025892039e+00,6.943391959999999585e+00,1.159046630626198385e+04,3.605885929963298937e-09,5.929622937695028668e+04
1.200000000000000000e+01,4.187182412945598116e+03,4.168693830000000162e+03,5.921946381523546243e+00,5.953283546199529042e+00,7.157940459999999838e+00,1.123652687095327565e+04,3.040802666725628900e-09,5.739732319600159826e+04
1.300000000000000000e+01,4.945127107792274728e+03,4.897788190000000213e+03,6.054870693825939121e+00,6.112240030005860802e+00,7.347334759999999854e+00,1.109794694406211602e+04,2.574735728691094159e-09,5.660257230474190146e+04
1.400000000000000000e+01,5.820620138654504444e+03,5.754399370000000090e+03,6.169947883220024742e+00,6.272925237212427341e+00,7.562171819999999656e+00,1.088820688407132184e+04,2.187463731363656956e-09,5.522201084170174727e+04
1.500000000000000000e+01,6.831891874309812920e+03,6.760829749999999876e+03,6.269574199049416485e+00,6.453851561733919162e+00,7.808177259999999897e+00,1.061070847096875332e+04,1.863670514931547863e-09,5.340959009136896930e+04
