ch,fc_target,fc_sim,Q_target,Q_sim,gain_dB,RA,C,R1
0.000000000000000000e+00,2.243397910240729232e+02,2.238721140000000105e+02,2.130064911413422468e+00,2.130061184249965045e+00,6.022521000000000235e+00,1.231780362213065746e+04,5.675495813395568725e-08,2.643922117913764669e+04
1.000000000000000000e+00,3.356412718429415349e+02,3.311311210000000074e+02,2.844357527053347212e+00,2.844364581502073719e+00,6.038528539999999722e+00,1.242830079075338472e+04,3.793453462215924457e-08,3.555015588450592622e+04
2.000000000000000000e+00,4.603447718681329093e+02,4.570881899999999973e+02,3.481884347412411262e+00,3.481886526909205415e+00,6.066788769999999609e+00,1.231220913036053753e+04,2.765839046174474192e-08,4.295739229147475271e+04
3.000000000000000000e+00,6.000640532660187318e+02,5.888436550000000125e+02,4.050895475034123727e+00,4.050896329400686113e+00,6.102200510000000300e+00,1.241990354271569595e+04,2.121839389987111531e-08,5.019475066354418232e+04
4.000000000000000000e+00,7.566071943197830478e+02,7.413102410000000191e+02,4.558754365072635650e+00,4.558763110283505782e+00,6.150753469999999723e+00,1.239460849136709840e+04,1.682827700151398454e-08,5.605116540601655288e+04
5.000000000000000000e+00,9.319999873960111927e+02,9.120108390000000327e+02,5.012033114240819209e+00,5.012046523380080387e+00,6.211178420000000422e+00,1.236059665424916602e+04,1.366136869049288146e-08,6.096988329937986418e+04
6.000000000000000000e+00,1.128512154304143678e+03,1.122018450000000030e+03,5.416597508952689211e+00,5.416635890646581686e+00,6.296618190000000226e+00,1.210444098336430216e+04,1.128246195558487424e-08,6.384729498026919464e+04
7.000000000000000000e+00,1.348686718296326490e+03,1.318256740000000036e+03,5.777682933250515518e+00,5.777890765777602411e+00,6.370171349999999677e+00,1.225694699089668211e+04,9.440587850850422842e-09,6.833712801919876074e+04
8.000000000000000000e+00,1.595372912804630460e+03,1.584893190000000004e+03,6.099962118825407842e+00,6.100926061177956328e+00,6.488098179999999715e+00,1.198221027637727821e+04,7.980827144023873974e-09,6.945077370067947777e+04
9.000000000000000000e+00,1.871763052780787575e+03,1.862087140000000090e+03,6.387605613870360521e+00,6.389194331202601163e+00,6.606306589999999979e+00,1.188660562922311328e+04,6.802354298230069972e-09,7.101977921661495930e+04
1.000000000000000000e+01,2.181433845782818480e+03,2.137962089999999989e+03,6.644335753280654622e+00,6.646845628413006857e+00,6.712320159999999980e+00,1.198858462506616706e+04,5.836709406506225933e-09,7.348306554881150078e+04
1.100000000000000000e+01,2.528392677406764960e+03,2.511886430000000018e+03,6.873474828618785892e+00,6.879282165326304543e+00,6.879005580000000286e+00,1.171986319271643515e+04,5.035766620084723261e-09,7.274638308021235571e+04
1.200000000000000000e+01,2.917129470033716188e+03,2.884031500000000051e+03,7.077988081201489479e+00,7.089424589865902959e+00,7.026457090000000072e+00,1.167320785706974129e+04,4.364700154088281530e-09,7.323472698992659571e+04
1.300000000000000000e+01,3.352674785985431299e+03,3.311311209999999846e+03,7.260522074673520621e+00,7.283518120285242148e+00,7.195121020000000200e+00,1.156583528520379696e+04,3.797682823450254511e-09,7.289680700331299158e+04
1.400000000000000000e+01,3.840664926989458309e+03,3.801893959999999879e+03,7.423438943639634857e+00,7.467644346308579095e+00,7.387178399999999812e+00,1.140346618590726212e+04,3.315153935423374122e-09,7.182050772234685428e+04
1.500000000000000000e+01,4.387414872392451798e+03,4.365158319999999549e+03,7.568846961559244413e+00,7.648788333849605436e+00,7.604897099999999632e+00,1.119067964147370913e+04,2.902026778335796447e-09,7.010827079061487166e+04
