ch,fc_target,fc_sim,Q_target,Q_sim,gain_dB,RA,C,R1
0.000000000000000000e+00,1.250000000000000000e+02,1.244514609999999948e+02,4.500000000000000000e+00,4.519846372161954839e+00,2.592791720000000311e+01,1.270000000000000000e+05,1.000000000000000021e-08,5.760000000000000000e+05
1.000000000000000000e+00,1.598505049249675949e+02,1.584893189999999947e+02,4.500000000000000000e+00,4.428412929096384509e+00,2.593626730000000080e+01,1.000000000000000000e+05,1.000000000000000021e-08,4.420000000000000000e+05
2.000000000000000000e+00,2.044174713981367404e+02,2.018366359999999986e+02,4.500000000000000000e+00,4.438705040161895710e+00,2.593750509999999920e+01,1.150000000000000000e+05,6.800000000000000506e-09,5.110000000000000000e+05
3.000000000000000000e+00,2.614098881478182648e+02,2.600159560000000170e+02,4.500000000000000000e+00,4.476113482362111817e+00,2.594786679999999990e+01,1.300000000000000000e+05,4.700000000000000727e-09,5.760000000000000000e+05
4.000000000000000000e+00,3.342920209024644578e+02,3.349654390000000035e+02,4.500000000000000000e+00,4.540318572378754247e+00,2.594780220000000170e+01,1.000000000000000000e+05,4.700000000000000727e-09,4.530000000000000000e+05
5.000000000000000000e+00,4.274939866691740917e+02,4.216965030000000070e+02,4.500000000000000000e+00,4.454699347621452254e+00,2.595890920000000079e+01,1.130000000000000000e+05,3.300000000000000185e-09,4.990000000000000000e+05
6.000000000000000000e+00,5.466810369716388323e+02,5.495408740000000307e+02,4.500000000000000000e+00,4.467320287241943966e+00,2.583385219999999904e+01,1.300000000000000000e+05,2.200000000000000261e-09,5.900000000000000000e+05
7.000000000000000000e+00,6.990979183425708925e+02,6.998419959999999946e+02,4.500000000000000000e+00,4.456673505546487668e+00,2.587348460000000472e+01,1.020000000000000000e+05,2.200000000000000261e-09,4.530000000000000000e+05
8.000000000000000000e+00,8.940092419124297294e+02,8.810488729999999578e+02,4.500000000000000000e+00,4.389335403756674303e+00,2.581660000000000110e+01,1.180000000000000000e+05,1.500000000000000197e-09,5.230000000000000000e+05
9.000000000000000000e+00,1.143262629818315190e+03,1.148153620000000046e+03,4.500000000000000000e+00,4.455822577570736520e+00,2.580964390000000108e+01,9.090000000000000000e+04,1.500000000000000197e-09,4.020000000000000000e+05
1.000000000000000000e+01,1.462008869106432030e+03,1.479108390000000099e+03,4.500000000000000000e+00,4.508482637816201510e+00,2.586048070000000010e+01,1.050000000000000000e+05,1.000000000000000062e-09,4.640000000000000000e+05
1.100000000000000000e+01,1.869622847451552389e+03,1.862087140000000090e+03,4.500000000000000000e+00,4.542095885852982740e+00,2.587243260000000333e+01,1.210000000000000000e+05,6.800000000000001333e-10,5.360000000000000000e+05
1.200000000000000000e+01,2.390881249475090499e+03,2.398832919999999831e+03,4.500000000000000000e+00,4.542487434736707463e+00,2.574387589999999904e+01,9.310000000000000000e+04,6.800000000000001333e-10,4.120000000000000000e+05
1.300000000000000000e+01,3.057468599553845706e+03,3.019951720000000023e+03,4.500000000000000000e+00,4.449991541610887502e+00,2.567552680000000009e+01,1.050000000000000000e+05,4.700000000000000313e-10,4.530000000000000000e+05
1.400000000000000000e+01,3.909903195447326652e+03,3.890451450000000023e+03,4.500000000000000000e+00,4.473671637442396154e+00,2.555187270000000410e+01,1.150000000000000000e+05,3.300000000000000495e-10,4.870000000000000000e+05
1.500000000000000000e+01,4.999999999999995453e+03,5.011872339999999895e+03,4.500000000000000000e+00,4.643809562245977851e+00,2.535175470000000075e+01,1.300000000000000000e+05,2.200000000000000158e-10,5.620000000000000000e+05
