ch,f_c_hz,Q,RA_kohm,R1_kohm,R2_kohm,R4_kohm,R5_kohm,R6_kohm,R7_kohm,R8_kohm,C_nF,C3_nF,Vthr_V,detector_opamp
0,125.0,4.5,127.00,576.00,100.00,50.00,500.00,45.45,455.56,544.44,10.00,39.00,0.98,OPA379
1,159.8505049249676,4.5,100.00,442.00,100.00,50.00,500.00,45.45,472.22,527.78,10.00,39.00,0.95,OPA379
2,204.41747139813674,4.5,115.00,511.00,100.00,50.00,500.00,45.45,472.22,527.78,6.80,39.00,0.95,OPA379
3,261.40988814781826,4.5,130.00,576.00,100.00,50.00,500.00,45.45,461.11,538.89,4.70,39.00,0.97,OPA379
4,334.29202090246446,4.5,100.00,453.00,100.00,50.00,500.00,45.45,450.00,550.00,4.70,15.00,0.99,OPA379
5,427.4939866691741,4.5,113.00,499.00,100.00,50.00,500.00,45.45,461.11,538.89,3.30,15.00,0.97,OPA379
6,546.6810369716388,4.5,130.00,590.00,100.00,50.00,500.00,45.45,455.56,544.44,2.20,15.00,0.98,OPA379
7,699.0979183425709,4.5,102.00,453.00,100.00,50.00,500.00,45.45,455.56,544.44,2.20,15.00,0.98,OPA379
8,894.0092419124297,4.5,118.00,523.00,100.00,50.00,500.00,45.45,461.11,538.89,1.50,5.60,0.97,OPA379
9,1143.2626298183152,4.5,90.90,402.00,100.00,50.00,500.00,45.45,466.67,533.33,1.50,5.60,0.96,OPA379
10,1462.008869106432,4.5,105.00,464.00,100.00,50.00,500.00,45.45,466.67,533.33,1.00,5.60,0.96,OPA379
11,1869.6228474515524,4.5,121.00,536.00,100.00,50.00,500.00,45.45,461.11,538.89,0.68,5.60,0.97,OPA379
12,2390.8812494750905,4.5,93.10,412.00,100.00,50.00,500.00,45.45,461.11,538.89,0.68,2.20,0.97,OPA379
13,3057.4685995538457,4.5,105.00,453.00,100.00,50.00,500.00,45.45,472.22,527.78,0.47,2.20,0.95,OPA379
14,3909.9031954473267,4.5,115.00,487.00,100.00,50.00,500.00,45.45,472.22,527.78,0.33,2.20,0.95,OPA379
15,4999.999999999995,4.5,130.00,562.00,100.00,50.00,500.00,45.45,472.22,527.78,0.22,2.20,0.95,OPA379
