ch,f_c_hz,Venv_DC_V,swing_V_at_0.0004Vamp
0,125,0.9381017,0.0820546
1,159.850505,0.9381032,0.0913068
2,204.417471,0.9381024,0.0901276
3,261.409888,0.9381015,0.107834
4,334.292021,0.9381032,0.1013336
5,427.493987,0.9381025,0.0884575
6,546.681037,0.9381015,0.0968585
7,699.097918,0.9381031,0.0887769
8,894.009242,0.9381022,0.0831878
9,1143.26263,0.9381037,0.0918463
10,1462.00887,0.9381029,0.0774271
11,1869.62285,0.938102,0.061732
12,2390.88125,0.9381036,0.0699968
13,3057.4686,0.9381029,0.0512141
14,3909.9032,0.9381024,0.0271046
15,5000,0.9381016,0.0159884
