ch,f_c_hz,Q,RA_kohm,C_nF,R1_kohm,gain_dB,R2_kohm,R4_kohm,R5_kohm,R6_kohm,C3_nF,R7_kohm,R8_kohm,Vthr_V
0,166,1.33,12.34,76.56,16.5,6.0,100,1.00,47,0.98,100,378.90,621.10,1.1180
1,295,2.08,12.50,42.35,26.1,6.0,100,1.00,47,0.98,100,378.81,621.19,1.1181
2,447,2.73,12.48,27.93,34.1,6.0,100,1.00,47,0.98,100,381.54,618.46,1.1132
3,631,3.29,12.26,20.05,40.2,6.1,100,1.00,47,0.98,100,380.28,619.72,1.1155
4,832,3.77,12.27,15.12,45.9,6.1,100,1.00,47,0.98,100,378.30,621.70,1.1191
5,1072,4.20,12.16,11.77,50.0,6.2,100,1.00,47,0.98,100,375.83,624.17,1.1235
6,1349,4.56,12.05,9.38,53.3,6.3,100,1.00,47,0.98,100,374.60,625.40,1.1257
7,1660,4.88,12.01,7.59,56.0,6.4,100,1.00,47,0.98,100,373.87,626.13,1.1270
8,2042,5.15,11.80,6.23,57.1,6.5,100,1.00,47,0.98,100,374.58,625.42,1.1258
9,2455,5.39,11.74,5.15,58.4,6.6,100,1.00,47,0.98,100,377.38,622.62,1.1207
10,2951,5.60,11.57,4.30,58.5,6.8,100,1.00,47,0.98,100,377.00,623.00,1.1214
11,3467,5.78,11.59,3.61,59.3,6.9,100,1.00,47,0.98,100,377.26,622.74,1.1209
12,4169,5.95,11.24,3.04,57.4,7.2,100,1.00,47,0.98,100,375.49,624.51,1.1241
13,4898,6.11,11.10,2.57,56.6,7.3,100,1.00,47,0.98,100,374.19,625.81,1.1265
14,5754,6.27,10.89,2.19,55.2,7.6,100,1.00,47,0.98,100,373.05,626.95,1.1285
15,6761,6.45,10.61,1.86,53.4,7.8,100,1.00,47,0.98,100,372.73,627.27,1.1291
