ch,f_c_hz,Q,RA_kohm,C_nF,R1_kohm,gain_dB,R2_kohm,R4_kohm,R5_kohm,R6_kohm,C3_nF,R7_kohm,R8_kohm,Vthr_V,detector_opamp
0,166,1.33,12.34,76.56,16.5,6.0,100,10,47,8.25,100,479.37,520.63,0.93713,OPA379
1,295,2.08,12.50,42.35,26.1,6.0,100,10,47,8.25,100,478.41,521.59,0.93886,OPA379
2,447,2.73,12.48,27.93,34.1,6.0,100,10,47,8.25,100,477.50,522.50,0.94050,OPA379
3,631,3.29,12.26,20.05,40.2,6.1,100,10,47,8.25,100,476.38,523.62,0.94252,OPA379
4,832,3.77,12.27,15.12,45.9,6.1,100,10,47,8.25,100,477.56,522.44,0.94039,OPA379
5,1072,4.20,12.16,11.77,50.0,6.2,100,10,47,8.25,100,478.50,521.50,0.93870,OPA379
6,1349,4.56,12.05,9.38,53.3,6.3,100,10,47,8.25,100,480.32,519.68,0.93542,OPA379
7,1660,4.88,12.01,7.59,56.0,6.4,100,10,47,8.25,100,481.96,518.04,0.93247,OPA379
8,2042,5.15,11.80,6.23,57.1,6.5,100,10,47,8.25,100,483.46,516.54,0.92977,OPA379
9,2455,5.39,11.74,5.15,58.4,6.6,100,10,47,8.25,100,484.09,515.91,0.92864,OPA379
10,2951,5.60,11.57,4.30,58.5,6.8,100,10,47,8.25,100,462.78,537.22,0.96700,TLV9041D
11,3467,5.78,11.59,3.61,59.3,6.9,100,10,47,8.25,100,463.12,536.88,0.96638,TLV9041D
12,4169,5.95,11.24,3.04,57.4,7.2,100,10,47,8.25,100,463.39,536.61,0.96590,TLV9041D
13,4898,6.11,11.10,2.57,56.6,7.3,100,10,47,8.25,100,463.74,536.26,0.96527,TLV9041D
14,5754,6.27,10.89,2.19,55.2,7.6,100,10,47,8.25,100,463.68,536.32,0.96538,TLV9041D
15,6761,6.45,10.61,1.86,53.4,7.8,100,10,47,8.25,100,463.38,536.62,0.96592,TLV9041D
