split,noise_file,start_sample,length_samples
train,exercise_bike.wav,933360,16000
train,white_noise.wav,557032,16000
train,white_noise.wav,440242,16000
train,pink_noise.wav,377348,16000
train,dude_miaowing.wav,593593,16000
train,dude_miaowing.wav,751315,16000
train,dude_miaowing.wav,51837,16000
train,running_tap.wav,153202,16000
train,exercise_bike.wav,121739,16000
train,dude_miaowing.wav,946843,16000
train,running_tap.wav,384274,16000
train,exercise_bike.wav,406227,16000
train,dude_miaowing.wav,592391,16000
train,white_noise.wav,450899,16000
train,running_tap.wav,621437,16000
train,pink_noise.wav,372184,16000
train,white_noise.wav,115464,16000
train,running_tap.wav,409303,16000
train,running_tap.wav,942977,16000
train,dude_miaowing.wav,753951,16000
train,pink_noise.wav,925701,16000
train,exercise_bike.wav,244410,16000
train,exercise_bike.wav,107433,16000
train,running_tap.wav,695512,16000
train,dude_miaowing.wav,573532,16000
train,white_noise.wav,397121,16000
train,doing_the_dishes.wav,631518,16000
train,doing_the_dishes.wav,348239,16000
train,white_noise.wav,480797,16000
train,dude_miaowing.wav,270416,16000
train,running_tap.wav,534771,16000
train,doing_the_dishes.wav,471814,16000
train,exercise_bike.wav,889582,16000
train,doing_the_dishes.wav,922818,16000
train,dude_miaowing.wav,101374,16000
train,doing_the_dishes.wav,966819,16000
train,dude_miaowing.wav,462746,16000
train,white_noise.wav,373910,16000
train,white_noise.wav,895257,16000
train,dude_miaowing.wav,87984,16000
train,pink_noise.wav,384734,16000
train,exercise_bike.wav,211070,16000
train,dude_miaowing.wav,416424,16000
train,doing_the_dishes.wav,423059,16000
train,exercise_bike.wav,712258,16000
train,white_noise.wav,271562,16000
train,white_noise.wav,72757,16000
train,doing_the_dishes.wav,233309,16000
train,running_tap.wav,324568,16000
train,running_tap.wav,239618,16000
train,pink_noise.wav,85118,16000
train,dude_miaowing.wav,503541,16000
train,dude_miaowing.wav,649840,16000
train,dude_miaowing.wav,217372,16000
train,exercise_bike.wav,478424,16000
train,dude_miaowing.wav,798462,16000
train,pink_noise.wav,941831,16000
train,exercise_bike.wav,525477,16000
train,doing_the_dishes.wav,1362094,16000
train,exercise_bike.wav,197767,16000
train,dude_miaowing.wav,116643,16000
train,dude_miaowing.wav,880813,16000
train,doing_the_dishes.wav,702018,16000
train,white_noise.wav,411569,16000
train,doing_the_dishes.wav,1279016,16000
train,running_tap.wav,36867,16000
train,white_noise.wav,178205,16000
train,dude_miaowing.wav,6696,16000
train,pink_noise.wav,260703,16000
train,running_tap.wav,846520,16000
train,white_noise.wav,939622,16000
train,white_noise.wav,71442,16000
train,exercise_bike.wav,875810,16000
train,exercise_bike.wav,613563,16000
train,pink_noise.wav,79843,16000
train,running_tap.wav,490194,16000
train,white_noise.wav,745232,16000
train,white_noise.wav,396036,16000
train,pink_noise.wav,171432,16000
train,exercise_bike.wav,27059,16000
train,exercise_bike.wav,958698,16000
train,pink_noise.wav,93301,16000
train,dude_miaowing.wav,188820,16000
train,dude_miaowing.wav,598569,16000
train,white_noise.wav,238787,16000
train,dude_miaowing.wav,706953,16000
train,running_tap.wav,272083,16000
train,exercise_bike.wav,310714,16000
train,doing_the_dishes.wav,170679,16000
train,dude_miaowing.wav,74053,16000
train,running_tap.wav,676689,16000
train,doing_the_dishes.wav,667742,16000
train,doing_the_dishes.wav,650505,16000
train,dude_miaowing.wav,219823,16000
train,pink_noise.wav,813643,16000
train,white_noise.wav,925997,16000
train,doing_the_dishes.wav,937543,16000
train,pink_noise.wav,438478,16000
train,exercise_bike.wav,716503,16000
train,exercise_bike.wav,823999,16000
train,exercise_bike.wav,49323,16000
train,doing_the_dishes.wav,650963,16000
train,pink_noise.wav,649689,16000
train,exercise_bike.wav,747187,16000
train,running_tap.wav,884761,16000
train,dude_miaowing.wav,256575,16000
train,exercise_bike.wav,721596,16000
train,dude_miaowing.wav,880024,16000
train,running_tap.wav,874891,16000
train,white_noise.wav,731340,16000
train,white_noise.wav,832869,16000
train,pink_noise.wav,67006,16000
train,exercise_bike.wav,503063,16000
train,dude_miaowing.wav,411815,16000
train,dude_miaowing.wav,144476,16000
train,exercise_bike.wav,595532,16000
train,running_tap.wav,361374,16000
train,doing_the_dishes.wav,552529,16000
train,dude_miaowing.wav,941213,16000
train,exercise_bike.wav,314302,16000
train,doing_the_dishes.wav,1075357,16000
train,white_noise.wav,132917,16000
train,exercise_bike.wav,136211,16000
train,dude_miaowing.wav,259538,16000
train,running_tap.wav,261515,16000
train,pink_noise.wav,477148,16000
train,dude_miaowing.wav,371639,16000
train,exercise_bike.wav,387034,16000
train,exercise_bike.wav,708750,16000
train,dude_miaowing.wav,52523,16000
train,doing_the_dishes.wav,502992,16000
train,running_tap.wav,275005,16000
train,dude_miaowing.wav,540368,16000
train,exercise_bike.wav,386752,16000
train,exercise_bike.wav,811455,16000
train,doing_the_dishes.wav,1041126,16000
train,white_noise.wav,419284,16000
train,white_noise.wav,503572,16000
train,doing_the_dishes.wav,1503563,16000
train,running_tap.wav,406716,16000
train,dude_miaowing.wav,94670,16000
train,exercise_bike.wav,660268,16000
train,doing_the_dishes.wav,269267,16000
train,white_noise.wav,799307,16000
train,pink_noise.wav,632080,16000
train,doing_the_dishes.wav,1052449,16000
train,running_tap.wav,399414,16000
train,dude_miaowing.wav,692722,16000
train,exercise_bike.wav,41839,16000
train,exercise_bike.wav,906206,16000
train,exercise_bike.wav,644504,16000
train,pink_noise.wav,557310,16000
train,white_noise.wav,739020,16000
train,exercise_bike.wav,612067,16000
train,exercise_bike.wav,677147,16000
