split,word,clip
train,backward,050170cb_nohash_0
train,backward,050170cb_nohash_4
train,backward,08ab231c_nohash_3
train,backward,0a2b400e_nohash_1
train,backward,0b7ee1a0_nohash_4
train,backward,0ba018fc_nohash_3
train,backward,1a994c9f_nohash_0
train,backward,1b18600d_nohash_0
train,backward,1c76f5f3_nohash_0
train,backward,1e9e6bdd_nohash_3
train,backward,1ed0b13d_nohash_0
train,backward,211b928a_nohash_2
train,backward,24a3e589_nohash_2
train,backward,25e95412_nohash_0
train,backward,262d7a03_nohash_0
train,backward,262d7a03_nohash_1
train,backward,29229c21_nohash_4
train,backward,2aca1e72_nohash_8
train,backward,2fee065a_nohash_0
train,backward,3102f006_nohash_1
train,backward,365908bd_nohash_3
train,backward,3a53b856_nohash_0
train,backward,3b3d2f59_nohash_0
train,backward,435695e3_nohash_1
train,backward,4cee0c60_nohash_0
train,backward,513aeddf_nohash_1
train,backward,5f5eef60_nohash_2
train,backward,608473c9_nohash_0
train,backward,6124b431_nohash_0
train,backward,61e2f74f_nohash_3
train,backward,62f05757_nohash_4
train,backward,63ae15e4_nohash_1
train,backward,67bdbf56_nohash_0
train,backward,6fb3d5a7_nohash_0
train,backward,70880cc6_nohash_0
train,backward,74241b28_nohash_3
train,backward,7d6b4b10_nohash_0
train,backward,80be36a2_nohash_0
train,backward,821b64cc_nohash_2
train,backward,85851131_nohash_3
train,backward,8e523821_nohash_0
train,backward,90735d8b_nohash_0
train,backward,9151f184_nohash_4
train,backward,9a76f8c3_nohash_4
train,backward,a045368c_nohash_4
train,backward,a1e71565_nohash_2
train,backward,a7200079_nohash_0
train,backward,a73be046_nohash_1
train,backward,ab46af55_nohash_3
train,backward,acb9db68_nohash_1
train,backward,ace072ba_nohash_2
train,backward,b089169d_nohash_0
train,backward,b4ea0d9a_nohash_0
train,backward,b528edb3_nohash_1
train,backward,b6573c88_nohash_1
train,backward,b8874962_nohash_1
train,backward,bbf38549_nohash_1
train,backward,bbf38549_nohash_4
train,backward,bd76a7fd_nohash_1
train,backward,bd76a7fd_nohash_3
train,backward,bde0f20a_nohash_3
train,backward,c351e611_nohash_3
train,backward,c50f55b8_nohash_0
train,backward,c50f55b8_nohash_11
train,backward,c50f55b8_nohash_5
train,backward,c633a455_nohash_0
train,backward,ca4912b6_nohash_4
train,backward,cc4f9250_nohash_3
train,backward,d21fd169_nohash_0
train,backward,ddedba85_nohash_1
train,backward,de3fe344_nohash_3
train,backward,ec989d6d_nohash_3
train,backward,ed032775_nohash_0
train,backward,eda072b5_nohash_0
train,backward,eeaf97c3_nohash_2
train,backward,ef3367d9_nohash_6
train,backward,f01a0d63_nohash_0
