ch,f_c_hz,Q,RA_kohm,C_nF,R1_kohm,gain_dB,R2_kohm,R4_kohm,R5_kohm,R6_kohm,C3_nF,R7_kohm,R8_kohm,Vthr_V
0,166,1.33,12.34,76.56,16.5,6.0,100,10,47,8.25,100,490.3,509.7,0.9174
1,295,2.08,12.50,42.35,26.1,6.0,100,10,47,8.25,100,488.2,511.8,0.9212
2,447,2.73,12.48,27.93,34.1,6.0,100,10,47,8.25,100,486.3,513.7,0.9247
3,631,3.29,12.26,20.05,40.2,6.1,100,10,47,8.25,100,490.0,510.0,0.9180
4,832,3.77,12.27,15.12,45.9,6.1,100,10,47,8.25,100,490.8,509.2,0.9166
5,1072,4.20,12.16,11.77,50.0,6.2,100,10,47,8.25,100,492.1,507.9,0.9143
6,1349,4.56,12.05,9.38,53.3,6.3,100,10,47,8.25,100,493.7,506.3,0.9113
7,1660,4.88,12.01,7.59,56.0,6.4,100,10,47,8.25,100,493.5,506.5,0.9117
8,2042,5.15,11.80,6.23,57.1,6.5,100,10,47,8.25,100,493.2,506.8,0.9123
9,2455,5.39,11.74,5.15,58.4,6.6,100,10,47,8.25,100,494.1,505.9,0.9106
10,2951,5.60,11.57,4.30,58.5,6.8,100,10,47,8.25,100,494.1,505.9,0.9106
11,3467,5.78,11.59,3.61,59.3,6.9,100,10,47,8.25,100,493.5,506.5,0.9117
12,4169,5.95,11.24,3.04,57.4,7.2,100,10,47,8.25,100,492.4,507.6,0.9136
13,4898,6.11,11.10,2.57,56.6,7.3,100,10,47,8.25,100,490.8,509.2,0.9166
14,5754,6.27,10.89,2.19,55.2,7.6,100,10,47,8.25,100,492.9,507.1,0.9128
15,6761,6.45,10.61,1.86,53.4,7.8,100,10,47,8.25,100,492.5,507.5,0.9135
