ch,fc_hz,Q,RA_kohm,C_nF,R1_kohm,gain_dB,R7_kohm,R8_kohm,Vthr_V,level_med,level_peak,winner_pct,alpha_xmax,alpha_xmix,fire_xmax,fire_xmix
0,166,1.33,12.34,76.56,16.5,6.0,490.3,509.7,0.9174,0.0947,32.64,38.6,0.646,0.543,0.558,0.561
1,295,2.08,12.5,42.35,26.1,6.0,488.2,511.8,0.9212,0.0605,45.09,8.7,0.54,0.391,0.511,0.594
2,447,2.73,12.48,27.93,34.1,6.0,486.3,513.7,0.9247,0.0518,62.72,7.9,0.526,0.37,0.492,0.563
3,631,3.29,12.26,20.05,40.2,6.1,490.0,510.0,0.918,0.0485,85.09,12.2,0.527,0.367,0.469,0.523
4,832,3.77,12.27,15.12,45.9,6.1,490.8,509.2,0.9166,0.0487,53.39,3.8,0.473,0.318,0.45,0.548
5,1072,4.2,12.16,11.77,50.0,6.2,492.1,507.9,0.9143,0.0506,79.42,7.9,0.472,0.328,0.414,0.481
6,1349,4.56,12.05,9.38,53.3,6.3,493.7,506.3,0.9113,0.0464,40.73,3.9,0.433,0.284,0.391,0.447
7,1660,4.88,12.01,7.59,56.0,6.4,493.5,506.5,0.9117,0.0451,22.41,2.4,0.4,0.246,0.368,0.438
8,2042,5.15,11.8,6.23,57.1,6.5,493.2,506.8,0.9123,0.0416,18.61,1.2,0.368,0.2,0.352,0.439
9,2455,5.39,11.74,5.15,58.4,6.6,494.1,505.9,0.9106,0.0319,26.31,0.7,0.352,0.18,0.346,0.409
10,2951,5.6,11.57,4.3,58.5,6.8,494.1,505.9,0.9106,0.0276,15.99,1.8,0.36,0.186,0.331,0.369
11,3467,5.78,11.59,3.61,59.3,6.9,493.5,506.5,0.9117,0.0269,12.23,3.7,0.373,0.196,0.305,0.317
12,4169,5.95,11.24,3.04,57.4,7.2,492.4,507.6,0.9136,0.0272,11.13,2.0,0.386,0.208,0.293,0.278
13,4898,6.11,11.1,2.57,56.6,7.3,490.8,509.2,0.9166,0.0233,13.11,2.7,0.367,0.188,0.285,0.276
14,5754,6.27,10.89,2.19,55.2,7.6,492.9,507.1,0.9128,0.0198,9.37,1.7,0.331,0.151,0.275,0.278
15,6761,6.45,10.61,1.86,53.4,7.8,492.5,507.5,0.9135,0.0158,6.05,0.8,0.283,0.1,0.231,0.273
