rom_case,eval_case_id,sample_index,target,target_name,detections,crc16,hit,quiet_false,wrong,outside
0,0,2857,0,yes,w10:0,5547,1,0,0,0
1,256,798,1,no,w12:1,89c3,1,0,0,0
2,512,2027,2,up,w9:2,8c06,1,0,0,0
3,768,2453,3,down,,d791,0,0,0,0
4,1024,1204,4,left,w9:0,c9d2,0,0,1,0
5,1280,0,5,right,w11:5,75bb,1,0,0,0
6,1536,3276,6,on,w13:6,ded0,1,0,0,0
7,1792,3673,7,off,w9:7,819b,1,0,0,0
8,2048,1618,8,stop,w7:8,7292,1,0,0,0
9,2304,396,9,go,w10:9,0a58,1,0,0,0
10,2560,4481,10,_silence_,,dc91,0,0,0,0
11,2816,4074,11,_unknown_,,c61d,0,0,0,0
12,1,2859,0,yes,w11:0,61a0,1,0,0,0
13,257,799,1,no,,af1d,0,0,0,0
14,513,2029,2,up,w10:2,94ae,1,0,0,0
15,769,2455,3,down,w10:3,d470,1,0,0,0
16,1025,1205,4,left,w8:4,53ac,1,0,0,0
17,1281,1,5,right,,8cae,0,0,0,0
18,1537,3278,6,on,w11:6,16bf,1,0,0,0
19,1793,3674,7,off,w12:7,57ed,1,0,0,0
20,2049,1619,8,stop,,1cfe,0,0,0,0
21,2305,399,9,go,,1937,0,0,0,0
22,2561,4483,10,_silence_,,ce57,0,0,0,0
23,2817,4075,11,_unknown_,,51f5,0,0,0,0
24,2,2860,0,yes,w11:0,4f1f,1,0,0,0
25,258,803,1,no,w11:1,b6b3,1,0,0,0
26,514,2030,2,up,w9:2,721a,1,0,0,0
27,770,2457,3,down,w8:3,52f7,1,0,0,0
28,1026,1207,4,left,,5e51,0,0,0,0
29,1282,2,5,right,w10:5,1fd2,1,0,0,0
30,1538,3280,6,on,w8:6,728d,1,0,0,0
31,1794,3675,7,off,w10:7,9edd,1,0,0,0
32,2050,1620,8,stop,w10:8,6c8b,1,0,0,0
33,2306,403,9,go,w10:9,437d,1,0,0,0
34,2562,4484,10,_silence_,,9943,0,0,0,0
35,2818,4076,11,_unknown_,,d60d,0,0,0,0
36,3,2862,0,yes,w10:0,df78,1,0,0,0
37,259,805,1,no,w10:1,706c,1,0,0,0
38,515,2031,2,up,w9:2,c1ef,1,0,0,0
39,771,2459,3,down,w8:3,afeb,1,0,0,0
40,1027,1208,4,left,w12:4,c8fd,1,0,0,0
41,1283,3,5,right,w11:5,8f3e,1,0,0,0
42,1539,3281,6,on,w9:6,425a,1,0,0,0
43,1795,3676,7,off,w11:7,a68b,1,0,0,0
44,2051,1621,8,stop,w8:8,a852,1,0,0,0
45,2307,404,9,go,,8b27,0,0,0,0
46,2563,4485,10,_silence_,,d669,0,0,0,0
47,2819,4078,11,_unknown_,w12:4,321d,0,1,1,0
48,4,2863,0,yes,w10:0,11e8,1,0,0,0
49,260,806,1,no,,e460,0,0,0,0
50,516,2032,2,up,,2201,0,0,0,0
51,772,2460,3,down,w11:3,c305,1,0,0,0
52,1028,1209,4,left,w10:4,afc1,1,0,0,0
53,1284,4,5,right,w10:5,7dde,1,0,0,0
54,1540,3282,6,on,w9:6,36ea,1,0,0,0
55,1796,3678,7,off,w12:7,3a36,1,0,0,0
56,2052,1622,8,stop,w10:8,6c70,1,0,0,0
57,2308,405,9,go,w10:9,2454,1,0,0,0
58,2564,4486,10,_silence_,,57c4,0,0,0,0
59,2820,4080,11,_unknown_,,c281,0,0,0,0
60,5,2864,0,yes,w9:0,34a7,1,0,0,0
61,261,807,1,no,w9:9,b1dd,0,0,1,0
62,517,2034,2,up,,4b9f,0,0,0,0
63,773,2461,3,down,w10:3,c516,1,0,0,0
64,1029,1211,4,left,w10:4,cdaf,1,0,0,0
65,1285,5,5,right,w11:5,9a31,1,0,0,0
66,1541,3284,6,on,,2faa,0,0,0,0
67,1797,3679,7,off,w8:7,ba7f,1,0,0,0
68,2053,1623,8,stop,w10:8,0096,1,0,0,0
69,2309,407,9,go,w11:9,9c60,1,0,0,0
70,2565,4487,10,_silence_,,ed1e,0,0,0,0
71,2821,4083,11,_unknown_,,f6e5,0,0,0,0
72,6,2865,0,yes,w10:0,d434,1,0,0,0
73,262,808,1,no,w8:1,0315,1,0,0,0
74,518,2035,2,up,w8:2,76de,1,0,0,0
75,774,2462,3,down,,eea8,0,0,0,0
76,1030,1213,4,left,,cafc,0,0,0,0
77,1286,6,5,right,w12:5,3cf5,1,0,0,0
78,1542,3285,6,on,w12:6,fd74,1,0,0,0
79,1798,3680,7,off,w14:7,e809,1,0,0,0
80,2054,1625,8,stop,w9:8,5904,1,0,0,0
81,2310,409,9,go,w10:9,c5cf,1,0,0,0
82,2566,4488,10,_silence_,,9797,0,0,0,0
83,2822,4084,11,_unknown_,,900e,0,0,0,0
84,7,2866,0,yes,w13:0,3d47,1,0,0,0
85,263,809,1,no,w10:1,13a1,1,0,0,0
86,519,2036,2,up,w12:2,d79a,1,0,0,0
87,775,2463,3,down,w11:9,f025,0,0,1,0
88,1031,1214,4,left,w14:4,4ae4,1,0,0,0
89,1287,7,5,right,,332a,0,0,0,0
90,1543,3287,6,on,w12:6,25d0,1,0,0,0
91,1799,3681,7,off,w11:7,5b58,1,0,0,0
92,2055,1626,8,stop,,35e7,0,0,0,0
93,2311,410,9,go,w17:0,963b,0,0,1,0
94,2567,4489,10,_silence_,,8185,0,0,0,0
95,2823,4085,11,_unknown_,,d3dc,0,0,0,0
96,8,2869,0,yes,w12:0,76b0,1,0,0,0
97,264,811,1,no,,2577,0,0,0,0
98,520,2037,2,up,w15:7,a6d4,0,0,1,0
99,776,2464,3,down,w11:3,e863,1,0,0,0
100,1032,1215,4,left,w9:4,32ae,1,0,0,0
101,1288,8,5,right,,f0b8,0,0,0,0
102,1544,3288,6,on,,777d,0,0,0,0
103,1800,3683,7,off,w9:7,857e,1,0,0,0
104,2056,1628,8,stop,,1775,0,0,0,0
105,2312,412,9,go,w9:9,c8e3,1,0,0,0
