rom_case,case_id,target,window_id,keyword_idx,keyword_margin,accept,candidate,streak,cooldown,armed,quiet_seen,detection,float_pred,float_gated
0,0,0,0,2,-48623,0,0,0,0,1,1,,10,10
0,0,0,1,2,-44934,0,0,0,0,1,1,,10,10
0,0,0,2,2,-43951,0,0,0,0,1,1,,10,10
0,0,0,3,8,-48774,0,0,0,0,1,1,,10,10
0,0,0,4,2,-43799,0,0,0,0,1,1,,10,10
0,0,0,5,4,6785,1,4,1,0,1,1,,4,4
0,0,0,6,0,11204,1,0,1,0,1,1,,0,0
0,0,0,7,0,24452,1,0,2,0,1,1,,0,0
0,0,0,8,0,31306,1,0,3,0,1,1,,0,0
0,0,0,9,0,30454,1,0,4,0,1,1,,0,0
0,0,0,10,0,33477,1,0,0,10,0,0,0,0,0
0,0,0,11,0,22482,1,0,0,9,0,0,,0,0
0,0,0,12,0,34023,1,0,0,8,0,0,,0,0
0,0,0,13,0,36667,1,0,0,7,0,0,,0,0
0,0,0,14,0,21210,1,0,0,6,0,0,,0,0
0,0,0,15,0,8340,1,0,0,5,0,0,,0,0
0,0,0,16,8,-28831,0,0,0,4,0,1,,10,10
0,0,0,17,9,-28993,0,0,0,3,0,1,,10,10
0,0,0,18,8,-19738,0,0,0,2,0,1,,10,10
0,0,0,19,0,-37812,0,0,0,1,0,1,,10,10
0,0,0,20,0,-35906,0,0,0,0,1,1,,10,10
1,256,1,0,7,-38115,0,0,0,0,1,1,,10,10
1,256,1,1,4,-18603,0,0,0,0,1,1,,10,10
1,256,1,2,5,-6199,0,0,0,0,1,1,,10,10
1,256,1,3,5,-46,0,0,0,0,1,1,,5,10
1,256,1,4,5,7661,1,5,1,0,1,1,,5,5
1,256,1,5,5,5464,1,5,2,0,1,1,,5,5
1,256,1,6,1,2372,0,0,0,0,1,1,,1,10
1,256,1,7,1,4042,0,0,0,0,1,1,,1,10
1,256,1,8,1,7250,1,1,1,0,1,1,,1,1
1,256,1,9,1,12947,1,1,2,0,1,1,,1,1
1,256,1,10,1,14079,1,1,3,0,1,1,,1,1
1,256,1,11,1,13270,1,1,4,0,1,1,,1,1
1,256,1,12,1,18154,1,0,0,10,0,0,1,1,1
1,256,1,13,1,18150,1,0,0,9,0,0,,1,1
1,256,1,14,1,16872,1,0,0,8,0,0,,1,1
1,256,1,15,9,7452,1,0,0,7,0,0,,9,9
1,256,1,16,3,-429,0,0,0,6,0,1,,10,10
1,256,1,17,0,670,0,0,0,5,0,1,,0,10
1,256,1,18,3,-15815,0,0,0,4,0,1,,10,10
1,256,1,19,0,-31118,0,0,0,3,0,1,,10,10
1,256,1,20,0,-35819,0,0,0,2,0,1,,10,10
2,512,2,0,3,-27380,0,0,0,0,1,1,,10,10
2,512,2,1,3,-27062,0,0,0,0,1,1,,10,10
2,512,2,2,2,-34949,0,0,0,0,1,1,,10,10
2,512,2,3,2,-11889,0,0,0,0,1,1,,10,10
2,512,2,4,3,-18379,0,0,0,0,1,1,,10,10
2,512,2,5,2,14747,1,2,1,0,1,1,,2,2
2,512,2,6,2,13217,1,2,2,0,1,1,,2,2
2,512,2,7,2,18677,1,2,3,0,1,1,,2,2
2,512,2,8,2,20068,1,2,4,0,1,1,,2,2
2,512,2,9,2,19665,1,0,0,10,0,0,2,2,2
2,512,2,10,2,21927,1,0,0,9,0,0,,2,2
2,512,2,11,2,10997,1,0,0,8,0,0,,2,2
2,512,2,12,2,11667,1,0,0,7,0,0,,2,2
2,512,2,13,2,12793,1,0,0,6,0,0,,2,2
2,512,2,14,8,10214,1,0,0,5,0,0,,8,8
2,512,2,15,8,6639,1,0,0,4,0,0,,8,8
2,512,2,16,0,10775,1,0,0,3,0,0,,0,0
2,512,2,17,0,4862,1,0,0,2,0,0,,0,0
2,512,2,18,0,-2114,0,0,0,1,0,1,,10,10
2,512,2,19,0,-6382,0,0,0,0,1,1,,10,10
2,512,2,20,2,-31581,0,0,0,0,1,1,,10,10
3,768,3,0,3,-16964,0,0,0,0,1,1,,10,10
3,768,3,1,3,-11008,0,0,0,0,1,1,,10,10
3,768,3,2,3,-7890,0,0,0,0,1,1,,10,10
3,768,3,3,3,1999,0,0,0,0,1,1,,3,10
3,768,3,4,0,3559,0,0,0,0,1,1,,0,10
3,768,3,5,0,7952,1,0,1,0,1,1,,0,0
3,768,3,6,3,-68,0,0,0,0,1,1,,11,11
3,768,3,7,1,3959,0,0,0,0,1,1,,1,10
3,768,3,8,1,-2039,0,0,0,0,1,1,,11,11
3,768,3,9,1,-2883,0,0,0,0,1,1,,11,11
3,768,3,10,1,1619,0,0,0,0,1,1,,1,10
3,768,3,11,1,-631,0,0,0,0,1,1,,11,11
3,768,3,12,1,-985,0,0,0,0,1,1,,11,11
3,768,3,13,3,3500,0,0,0,0,1,1,,3,10
3,768,3,14,6,5058,1,6,1,0,1,1,,6,6
3,768,3,15,2,4084,0,0,0,0,1,1,,2,10
3,768,3,16,3,4978,1,3,1,0,1,1,,3,3
